"id";"title";"author";"year";"isbn"
"178";"Ellen Foster";"Kaye Gibbons";"1987";"0375703055"
"179";"The Hollow Hills";"Mary  Stewart";"1973";"0060548266"
"180";"Fantasy In Death";"J.D. Robb";"2010";"0399156240"
"181";"First Among Equals";"Jeffrey Archer";"1983";"0312997124"
"182";"Madeline's Rescue";"Ludwig Bemelmans";"1953";"0670447161"
"183";"See Jane Date";"Melissa Senate";"2001";"0373250118"
"184";"The Almost Moon";"Alice Sebold";"2007";"0316677469"
"185";"Truly Madly Guilty";"Liane Moriarty";"2016";"1250069793"
"186";"Dead Heat";"Patricia Briggs";"2015";"0425256758"
"187";"The Obituary Writer";"Ann Hood";"2013";"0393346773"
"188";"Parts";"Tedd Arnold";"1997";"0140565337"
"189";"The Face";"Dean Koontz";"2003";"0553584480"
"190";"At Grave's End";"Jeaniene Frost";"2008";"0061583073"
"191";"The Collaborator";"Margaret Leroy";"2011";"1401341705"
"192";"The neon rain";"James Lee Burke";"1987";"0753820331"
"193";"Slated";"Teri Terry";"2012";"1408319462"
"194";"Sein und Zeit";"Martin Heidegger";"1927";"0060638508"
"195";"Saving Faith";"David Baldacci";"1999";"0446608890"
"196";"Jurassic Park";"Michael Crichton";"1990";"030734813X"
"197";"Chrysanthemum";"Kevin Henkes";"1991";"0688147321"
"198";"The Emerald Atlas";"John  Stephens";"2011";"0375868704"
"199";"Dragon Haven";"Robin Hobb";"2010";"0061931411"
"200";"The Charm School";"Nelson DeMille";"1988";"0751531189"
"201";"The Glass Castle";"Jeannette Walls";"2005";"074324754X"
"202";"Hogfather";"Terry Pratchett";"1996";"0552154288"
"203";"Plateforme";"Michel Houellebecq";"2001";"1400030269"
"204";"The Hellbound Heart";"Clive Barker";"1986";"0061002828"
"205";"Zodiac";"Neal Stephenson";"1988";"0553573861"
"206";"Redemption Ark";"Alastair Reynolds";"2003";"044101173X"
"207";"Montana Sky";"Nora Roberts";"1996";"0425205754"
"208";"Skin Game";"Jim Butcher";"2014";"0451464397"
"209";"The Game";"Neil Strauss";"2005";"0060554738"
"210";"Dawn ";"V.C. Andrews";"1990";"0671670689"
"211";"Our Souls at Night";"Kent Haruf";"2015";"1101875895"
"212";"One Day";"David Nicholls";"2009";"0340896965"
"213";"Fire Study";"Maria V. Snyder";"2008";"0778325342"
"214";"The Children Act";"Ian McEwan";"2014";"0385539703"
"215";"The First Rule";"Robert Crais";"2010";"0399156135"
"216";"Remember Me ";"Mary Higgins Clark";"1994";"0743484363"
"217";"The Heist";"Daniel Silva";"2014";"006232005X"
"218";"The Struggle";"L.J. Smith";"1991";"006102001X"
"219";"The Sky Is Everywhere";"Jandy Nelson";"2010";"0803734956"
"220";"Lawrence in Arabia";"Scott Anderson";"2013";"038553292X"
"221";"Broken Monsters";"Lauren Beukes";"2014";"0316216828"
"222";"The Sixth Man";"David Baldacci";"2011";"0446573108"
"223";"Tender Is the Night";"F. Scott Fitzgerald";"1933";"068480154X"
"224";"Port Mortuary";"Patricia Cornwell";"2010";"0399157212"
"225";"Crush";"Nicole  Williams";"2013";"0062267175"
"226";"Thankless in Death ";"J.D. Robb";"2013";"0399164421"
"227";"The Poisonwood Bible";"Barbara Kingsolver";"1998";"0060786507"
"228";"American on Purpose";"Craig Ferguson";"2009";"0061719544"
"229";"Pirate Latitudes";"Michael Crichton";"2009";"0061929379"
"230";"Again the Magic ";"Lisa Kleypas";"2004";"0380811081"
"231";"The Bone Bed";"Patricia Cornwell";"2012";"0399157565"
"232";"Stone Mattress";"Margaret Atwood";"2014";"0385539126"
"233";"Ship Breaker";"Paolo Bacigalupi";"2010";"0316056219"
"234";"Enchantment";"Orson Scott Card";"1999";"0345482409"
"235";"Night of the Living Dummy";"R.L. Stine";"1993";"0439568404"
"236";"The Crown Tower";"Michael J. Sullivan";"2013";"031624371X"
"237";"The Lathe of Heaven";"Ursula K. Le Guin";"1971";"0060512741"
"238";"Crispin: The Cross of Lead";"Avi";"2002";"0786816589"
"239";"California";"Edan Lepucki";"2014";"0316250813"
"240";"The Song of Achilles";"Madeline Miller";"2011";"1408816032"
"241";"Dark of the Moon";"John Sandford";"2004";"0399154779"
"242";"Eight Hundred Grapes";"Laura Dave";"2015";"1476789258"
"243";"Bad for You";"Abbi Glines";"2014";"1481420763"
"244";"The Black Cat";"Edgar Allan Poe";"1843";"1594561753"
"245";"A Wedding in December";"Anita Shreve";"2005";"0316154512"
"246";"The Capture";"Kathryn Lasky";"2003";"0439405572"
"247";"The Accident";"Linwood Barclay";"2011";"0553807188"
"248";"The Providence of Fire";"Brian Staveley";"2015";"0765336413"
"249";"The Sculptor";"Scott McCloud";"2015";"1596435739"
"250";"Dream Chaser";"Sherrilyn Kenyon";"2008";"0312938829"
"251";"Finding the Dream";"Nora Roberts";"1996";"0515142891"
"252";"Web of Lies";"Jennifer Estep";"2010";"143914799X"
"253";"The Ruby in the Smoke";"Philip Pullman";"1985";"0394895894"
"254";"The Martian";"Andy Weir";"2012";"0804139024"
"255";"The Light Between Oceans";"M.L. Stedman";"2012";"1451681739"
"256";"Fallen in Love";"Lauren Kate";"2012";"0375990674"
"257";"Pursuit of Honor";"Vince Flynn";"2009";"1416595163"
"258";"American Assassin";"Vince Flynn";"2010";"141659518X"
"259";"A Civil Action";"Jonathan Harr";"1995";"0679772677"
"260";"Frog Music";"Emma Donoghue";"2014";"031632468X"
"261";"On the Beach";"Nevil Shute";"1957";"1842322761"
"262";"Magician";"Raymond E. Feist";"1982";"0586217835"
"263";"The Shining Ones";"David Eddings";"1993";"0345388666"
"264";"Skeleton Crew";"Stephen King";"1985";"0751504386"
"265";"Skin";"Ted Dekker";"2006";"1595542779"
"266";"Trouble in Mudbug";"Jana Deleon";"2009";"0505527847"
"267";"Her Daughter's Dream";"Francine Rivers";"2010";"1414334095"
"268";"Chasing Fire";"Nora Roberts";"2011";"0399157441"
"269";"The Magicians";"Lev Grossman";"2009";"0670020559"
"270";"Morning, Noon & Night";"Sidney Sheldon";"1995";"0446602213"
"271";"Open House";"Elizabeth Berg";"2000";"0345435168"
"272";"Last to Die";"Tess Gerritsen";"2012";"0345515633"
"273";"Summer Knight";"Jim Butcher";"2002";"0451458923"
"274";"David and Goliath";"Malcolm Gladwell";"2011";"0316204366"
"275";"As I Lay Dying";"William Faulkner";"1930";"067973225X"
"276";"The Girl in the Steel Corset";"Kady Cross";"2011";"0373210337"
"277";"The Romanov Prophecy";"Steve Berry";"2004";"0345460065"
"278";"Max ";"James Patterson";"2009";"0316002895"
"279";"Sin Undone";"Larissa Ione";"2010";"0446556815"
"280";"Moonlight Mile ";"Dennis Lehane";"2010";"0061836923"
"281";"Sepulchre";"Kate Mosse";"2007";"0752860550"
"282";"Rock Chick Rescue";"Kristen Ashley";"2009";"1849234752"
"283";"Jack & Jill";"James Patterson";"1996";"0446692654"
"284";"Fracture Me";"Tahereh Mafi";"2013";"0062284835"
"285";"How I Live Now";"Meg Rosoff";"2004";"0553376055"
"286";"John Adams";"David McCullough";"2001";"0743223136"
"287";"Firefly Lane";"Kristin Hannah";"2008";"0312364083"
"288";"Mockingjay";"Suzanne Collins";"2010";"0439023513"
"289";"An Offer From a Gentleman";"Julia Quinn";"2001";"0380815583"
"290";"Elephants Can Remember";"Agatha Christie";"1972";"0425067823"
"291";"Angel";"James Patterson";"2011";"0446545244"
"292";"Succubus Blues";"Richelle Mead";"2007";"0758216416"
"293";"Necroscope ";"Brian Lumley";"1986";"031285787X"
"294";"Cross Country";"James Patterson";"2008";"0316024643"
"295";"The Pearls of Lutra";"Brian Jacques";"1996";"0142401447"
"296";"The Broken Window";"Jeffery Deaver";"2008";"1416549978"
"297";"The Truth";"Terry Pratchett";"2000";"0413771164"
"298";"Villa Incognito";"Tom Robbins";"2003";"1842431021"
"299";"Not Without My Daughter";"Betty Mahmoody";"1987";"0552152161"
"300";"Flash and Bones";"Kathy Reichs";"2011";"1439102414"
"301";"Endlessly";"Kiersten White";"2012";"0061985880"
"302";"The Chrysalids";"John Wyndham";"1955";"0140013083"
"303";"Rumpelstilzchen";"Paul O. Zelinsky";"1986";"0140558640"
"304";"Obsidian";"Jennifer L. Armentrout";"2011";"1620610078"
"305";"The Sound of Gravel";"Ruth Wariner";"2016";"1250077699"
"306";"The Pursuit of Happyness";"Chris Gardner";"2006";"0060744871"
"307";"Jailbird";"Kurt Vonnegut Jr.";"1979";"0385333900"
"308";"Falling Up";"Shel Silverstein";"1996";"0060513098"
"309";"A Walk to Remember";"Nicholas Sparks";"1999";"0446693804"
"310";"Clockwork Prince";"Cassandra Clare";"2011";"1416975888"
"311";"The Time Keeper";"Mitch Albom";"2012";"1401322786"
"312";"Childhood's End";"Arthur C. Clarke";"1953";"0345347951"
"313";"The Sorceress";"Michael Scott";"2009";"0385735294"
"314";"Guards! Guards!";"Terry Pratchett";"1989";"0061020648"
"315";"The Great and Secret Show";"Clive Barker";"1989";"006093316X"
"316";"Gabriel's Inferno";"Sylvain Reynard";"2011";"1936305623"
"317";"E Is for Evidence";"Sue Grafton";"1988";"0312939035"
"318";"Memories of Ice";"Steven Erikson";"2001";"0765348802"
"319";"Calculated in Death";"J.D. Robb";"2013";"0399158820"
"320";"Catherine, Called Birdy";"Karen Cushman";"1994";"0060739428"
"321";"Can Love Happen Twice?";"Ravinder Singh";"2011";"0143417231"
"322";"Twenties Girl";"Sophie Kinsella";"2009";"0385342020"
"323";"The Secret Speech";"Tom Rob Smith";"2009";"0446402400"
"324";"The Ringworld Engineers ";"Larry Niven";"1979";"0345418417"
"325";"Bloody Valentine";"Melissa de la Cruz";"2010";"1423134494"
"326";"Garden Spells";"Sarah Addison Allen";"2007";"0553805487"
"327";"Chasing Darkness";"Robert Crais";"2008";"0743281640"
"328";"The Magician's Apprentice";"Trudi Canavan";"2009";"0316037885"
"329";"Earth Abides";"George R. Stewart";"1949";"0345487133"
"330";"Keeping You a Secret";"Julie Anne Peters";"2007";"0316009857"
"331";"The White Rose";"Glen Cook";"1985";"0812508440"
"332";"A Spell for Chameleon";"Piers Anthony";"1977";"034525855X"
"333";"Midnight Tides";"Steven Erikson";"2004";"0553813145"
"334";"PS, I Love You";"Cecelia Ahern";"2003";"0786890754"
"335";"The Saving Graces";"Patricia Gaffney";"1999";"0060598328"
"336";"Daughter of the Forest";"Juliet Marillier";"1999";"0765343436"
"337";"Sea Swept";"Nora Roberts";"1998";"0515121843"
"338";"The Shining";"Stephen King";"1977";"0450040186"
"339";"Bloodline";"Sidney Sheldon";"1977";"1568650949"
"340";"Touching Spirit Bear";"Ben Mikaelsen";"1997";"0060734000"
"341";"Life of Pi";"Yann Martel";"2001";"0770430074"
"342";"Torment";"Lauren Kate";"2010";"0385739141"
"343";"Nutshell";"Ian McEwan";"2016";"0385542070"
"344";"The Wizard Heir";"Cinda Williams Chima";"2007";"1423104870"
"345";"Big Rock";"Lauren Blakely";"2016";"0692572031"
"346";"Mercy";"Jodi Picoult";"1996";"0743422449"
"347";"True Colors";"Kristin Hannah";"2009";"0312364105"
"348";"L.A. Requiem";"Robert Crais";"1999";"2266120921"
"349";"Seven Years to Sin";"Sylvia Day";"2011";"0758290411"
"350";"If There Be Thorns";"V.C. Andrews";"1981";"0671729454"
"351";"The Desert Spear";"Peter V. Brett";"2010";"0345503813"
"352";"Grey";"E.L. James";"2015";"1101946342"
"353";"Brother Odd";"Dean Koontz";"2006";"0553804804"
"354";"The Firm";"John Grisham";"1991";"044021145X"
"355";"Tricks";"Ellen Hopkins";"2009";"1416950079"
"356";"Into the Wild";"Erin Hunter";"2003";"0061284203"
"357";"The Never War";"D.J. MacHale";"2003";"1597372552"
"358";"Delirium";"Lauren Oliver";"2011";"0061726834"
"359";"Magic's Price";"Mercedes Lackey";"1990";"0886774268"
"360";"Two States";"Chetan Bhagat";"2009";"8129115301"
"361";"Footfall";"Larry Niven, Jerry Pournelle";"1985";"0345418425"
"362";"Zita the Spacegirl";"Ben Hatke";"2011";"1596434465"
"363";"Waiting";"Ha Jin";"1999";"0375706410"
"364";"Throne of Glass";"Sarah J. Maas";"2012";"1599906953"
"365";"The Book of Negroes";"Lawrence Hill";"2007";"0393065782"
"366";"The Wolf of Wall Street";"Jordan Belfort";"2007";"0553805460"
"367";"It's In His Kiss";"Julia Quinn";"2005";"006053124X"
"368";"Portrait in Death";"J.D. Robb";"2003";"0425189031"
"369";"Islands in the Stream";"Ernest Hemingway";"1970";"0743253426"
"370";"Darke";"Angie Sage, Mark Zug";"2011";"006124242X"
"371";"The Cove";"Catherine Coulter";"1996";"0399150862"
"372";"Fablehaven";"Brandon Mull";"2006";"1590385810"
"373";"Break No Bones";"Kathy Reichs";"2006";"0743233492"
"374";"Too Much Happiness";"Alice Munro";"2009";"0307269760"
"375";"Without Remorse";"Tom Clancy";"1993";"0425143325"
"376";"Wild Cards";"Simone Elkeles";"2013";"0802734375"
"377";"The Fuck-Up";"Arthur Nersesian";"1997";"0671027638"
"378";"Throne of Jade";"Naomi Novik";"2006";"0345481291"
"379";"One False Move";"Harlan Coben";"1998";"0440225442"
"380";"A Matter of Honor";"Jeffrey Archer";"1985";"0312933541"
"381";"Trunk Music";"Michael Connelly";"1997";"0312941919"
"382";"Monsters";"Ilsa J. Bick";"2011";"1606841750"
"383";"Calamity";"Brandon Sanderson";"2016";"0385743602"
"384";"Amadeus";"Peter Shaffer";"1979";"0060935499"
"385";"The Sky is Falling";"Sidney Sheldon";"2000";"0446610178"
"386";"A Civil Campaign";"Lois McMaster Bujold";"1999";"0671578855"
"387";"Rush";"Maya Banks";"2013";"0425267040"
"388";"The Brass Verdict";"Michael Connelly";"2008";"0316166294"
"389";"Ladies' Night ";"Mary Kay Andrews";"2013";"1250019672"
"390";"Sharp Objects";"Gillian Flynn";"2006";"0307341542"
"391";"The Incredible Journey";"Sheila Burnford";"1960";"0440226708"
"392";"Where We Belong";"Emily Giffin";"2012";"0312554192"
"393";"The Guilty";"David Baldacci";"2015";"1455536253"
"394";"Ruby";"Cynthia Bond";"2014";"0804188246"
"395";"Galveston";"Nic Pizzolatto";"2004";"1439166641"
"396";"The Pagan Stone";"Nora Roberts";"2008";"0515144665"
"397";"God Emperor of Dune";"Frank Herbert";"1981";"0575075066"
"398";"Seduction in Death";"J.D. Robb";"2001";"0749934395"
"399";"The Duchess War";"Courtney Milan";"2012";"1937248097"
"400";"Over Sea, Under Stone";"Susan Cooper";"1965";"068987121X"
"401";"Burn";"Maya Banks";"2013";"0425267083"
"402";"The Orphan Master's Son";"Adam Johnson";"2012";"0812992792"
"403";"The Last Star";"Rick Yancey";"2016";"0399162437"
"404";"Intensity";"Dean Koontz";"1987";"0553582917"
"405";"Going Too Far";"Jennifer Echols";"2009";"1416571736"
"406";"The Guard";"Kiera Cass";"2014";"0062317148"
"407";"Alex Cross, Run";"James Patterson";"2013";"0316097527"
"408";"Need";"Carrie Jones";"2008";"1599903385"
"409";"Screw It, Let's Do It";"Richard Branson";"2006";"0753510995"
"410";"The Codex";"Douglas Preston";"2003";"076534629X"
"411";"The Revenge of Seven";"Pittacus Lore";"2014";"0062194720"
"412";"King Solomon's Mines";"H. Rider Haggard";"1885";"0812966295"
"413";"Good Grief";"Lolly Winston";"2004";"0446694843"
"414";"Extras";"Scott Westerfeld";"2006";"1416951172"
"415";"The Dharma Bums";"Jack Kerouac";"1958";"0140042520"
"416";"Life after God";"Douglas Coupland";"1994";"0743231511"
"417";"London Bridges";"James Patterson";"2004";"0446613355"
"418";"The Lost Years of Merlin";"T.A. Barron";"1996";"0441010288"
"419";"Fish In A Tree";"Lynda Mullaly Hunt";"2015";"0399162593"
"420";"Darkest Fear";"Harlan Coben";"1999";"0752849190"
"421";"A Long Way From Chicago";"Richard Peck";"1998";"0142401102"
"422";"Bearing an Hourglass";"Piers Anthony";"1984";"0345313151"
"423";"The Life We Bury";"Allen Eskens";"2014";"1616149981"
"424";"The Winter Rose";"Jennifer Donnelly";"2008";"0007191324"
"425";"Moscow Rules";"Daniel Silva";"2008";"0399155015"
"426";"The Once and Future King";"T.H. White";"1958";"0441627404"
"427";"Ashfall";"Mike Mullin";"2011";"1933718552"
